INFO 2025-01-27 21:29:30,064 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-27 21:29:30,065 autoreload Waiting for apps ready_event.
DEBUG 2025-01-27 21:29:30,240 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-01-27 21:29:30,261 autoreload Watching dir C:\dev\trade_accounting\trades\templates with glob **/*.
DEBUG 2025-01-27 21:29:30,262 autoreload Watching dir C:\dev\trade_accounting\.venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-01-27 21:29:30,262 autoreload Watching dir C:\dev\trade_accounting\templates with glob **/*.
DEBUG 2025-01-27 21:29:30,262 autoreload Watching dir C:\dev\trade_accounting\locale with glob **/*.mo.
DEBUG 2025-01-27 21:29:30,263 autoreload Watching dir C:\dev\trade_accounting\.venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-01-27 21:29:30,263 autoreload Watching dir C:\dev\trade_accounting\trades\locale with glob **/*.mo.
DEBUG 2025-01-27 21:29:30,282 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-01-27 21:29:30,284 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-01-27 21:29:30,378 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\numpy\_core\numerictypes.py first seen with mtime 1737813513.6712756
DEBUG 2025-01-27 21:29:30,379 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\http\client.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,379 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\asyncio\transports.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,379 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\numpy\_typing\_nested_sequence.py first seen with mtime 1737813513.7719631
DEBUG 2025-01-27 21:29:30,379 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1737812480.0422032
DEBUG 2025-01-27 21:29:30,379 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\io\parquet.py first seen with mtime 1737813515.3236446
DEBUG 2025-01-27 21:29:30,379 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1737812481.0003517
DEBUG 2025-01-27 21:29:30,379 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\_libs\properties.cp313-win_amd64.pyd first seen with mtime 1737813515.8896523
DEBUG 2025-01-27 21:29:30,380 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1737812481.0437186
DEBUG 2025-01-27 21:29:30,380 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\_libs\parsers.cp313-win_amd64.pyd first seen with mtime 1737813515.8886547
DEBUG 2025-01-27 21:29:30,380 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\numpy\lib\format.py first seen with mtime 1737813513.493674
DEBUG 2025-01-27 21:29:30,380 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\numpy\_core\einsumfunc.py first seen with mtime 1737813513.6652918
DEBUG 2025-01-27 21:29:30,380 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\numpy\matrixlib\defmatrix.py first seen with mtime 1737813513.5455518
DEBUG 2025-01-27 21:29:30,380 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\db\models\enums.py first seen with mtime 1737812481.0791104
DEBUG 2025-01-27 21:29:30,380 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\computation\parsing.py first seen with mtime 1737813515.273418
DEBUG 2025-01-27 21:29:30,380 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\numpy\lib\_array_utils_impl.py first seen with mtime 1737813513.5006714
DEBUG 2025-01-27 21:29:30,381 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\io\formats\__init__.py first seen with mtime 1737813515.340097
DEBUG 2025-01-27 21:29:30,381 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\_libs\reshape.cp313-win_amd64.pyd first seen with mtime 1737813515.8916552
DEBUG 2025-01-27 21:29:30,381 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\DLLs\_decimal.pyd first seen with mtime 1728282446.0
DEBUG 2025-01-27 21:29:30,381 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1737812481.050715
DEBUG 2025-01-27 21:29:30,381 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\forms\forms.py first seen with mtime 1737812481.0970345
DEBUG 2025-01-27 21:29:30,381 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\zoneinfo\_tzpath.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,381 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\internals\array_manager.py first seen with mtime 1737813515.29537
DEBUG 2025-01-27 21:29:30,381 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\rest_framework\settings.py first seen with mtime 1737887110.631211
DEBUG 2025-01-27 21:29:30,381 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\methods\__init__.py first seen with mtime 1737813515.3003707
DEBUG 2025-01-27 21:29:30,381 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1737812479.312242
DEBUG 2025-01-27 21:29:30,381 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\computation\common.py first seen with mtime 1737813515.2704177
DEBUG 2025-01-27 21:29:30,381 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\email\contentmanager.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1737812481.091566
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\email\generator.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\email\mime\nonmultipart.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1737812481.150797
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\_libs\tslibs\base.cp313-win_amd64.pyd first seen with mtime 1737813515.904655
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\array_algos\masked_accumulations.py first seen with mtime 1737813515.2662604
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\asyncio\queues.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1737812480.5815957
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\wsgiref\headers.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\dataclasses.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\template\library.py first seen with mtime 1737812481.143586
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\numpy\linalg\_umath_linalg.cp313-win_amd64.pyd first seen with mtime 1737813513.533015
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\wsgiref\util.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,383 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\io\formats\format.py first seen with mtime 1737813515.3358583
DEBUG 2025-01-27 21:29:30,383 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\core\files\locks.py first seen with mtime 1737812481.0164096
DEBUG 2025-01-27 21:29:30,383 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\methods\describe.py first seen with mtime 1737813515.2993698
DEBUG 2025-01-27 21:29:30,383 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\indexes\api.py first seen with mtime 1737813515.2849083
DEBUG 2025-01-27 21:29:30,383 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\nturl2path.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,383 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\strings\object_array.py first seen with mtime 1737813515.3093734
DEBUG 2025-01-27 21:29:30,383 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\copyreg.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,383 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\groupby\categorical.py first seen with mtime 1737813515.2804184
DEBUG 2025-01-27 21:29:30,383 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1737812479.6019645
DEBUG 2025-01-27 21:29:30,383 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\internals\base.py first seen with mtime 1737813515.29537
